日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,600519,1608.68,1578.69,1611.87,1571.78,32156,5440082548.0,2.48,-2.53,-40.99,0.26
2024-01-03,600519,1574.79,1587.68,1588.9,1570.01,20229,3411400667.0,1.2,0.57,8.99,0.16
2024-01-04,600519,1586.68,1562.68,1586.68,1556.61,21551,3603970147.0,1.89,-1.57,-25.0,0.17
2024-01-05,600519,1555.01,1557.04,1572.34,1545.79,20243,3373155627.0,1.7,-0.36,-5.64,0.16
2024-01-08,600519,1554.68,1537.67,1555.68,1533.69,25586,4211918629.0,1.41,-1.24,-19.37,0.2
2024-01-09,600519,1534.69,1534.68,1546.0,1528.75,24412,4009826496.0,1.12,-0.19,-2.99,0.19
2024-01-10,600519,1534.78,1535.18,1553.14,1531.68,17351,2856120718.0,1.4,0.03,0.5,0.14
2024-01-11,600519,1533.78,1540.25,1551.62,1531.74,16441,2708764500.0,1.29,0.33,5.07,0.13
2024-01-12,600519,1533.65,1536.74,1544.94,1533.08,11603,1908084612.0,0.77,-0.23,-3.51,0.09
2024-01-15,600519,1528.68,1533.68,1548.65,1528.13,17854,2931202343.0,1.34,-0.2,-3.06,0.14
2024-01-16,600519,1532.18,1533.11,1540.68,1518.62,25903,4236042960.0,1.44,-0.04,-0.57,0.21
2024-01-17,600519,1523.68,1470.68,1529.16,1470.68,51633,8251735591.0,3.81,-4.07,-62.43,0.41
2024-01-18,600519,1467.68,1504.55,1506.48,1449.23,60440,9566349514.0,3.89,2.3,33.87,0.48
2024-01-19,600519,1502.55,1528.68,1531.69,1494.56,46378,7550144389.0,2.47,1.6,24.13,0.37
2024-01-22,600519,1522.68,1535.68,1536.68,1512.56,46946,7678297836.0,1.58,0.46,7.0,0.37
2024-01-23,600519,1525.69,1512.68,1533.63,1502.68,34835,5659457115.0,2.02,-1.5,-23.0,0.28
2024-01-24,600519,1522.68,1519.68,1527.52,1497.24,33216,5373603703.0,2.0,0.46,7.0,0.26
2024-01-25,600519,1520.5,1531.68,1534.68,1515.68,31206,5094508165.0,1.25,0.79,12.0,0.25
2024-01-26,600519,1524.04,1531.0,1537.78,1516.68,26955,4402111882.0,1.38,-0.04,-0.68,0.21
2024-01-29,600519,1533.98,1543.68,1554.26,1533.97,31421,5189014946.0,1.33,0.83,12.68,0.25
2024-01-30,600519,1543.66,1506.68,1543.66,1503.68,30866,5010784454.0,2.59,-2.4,-37.0,0.25
2024-01-31,600519,1506.68,1498.59,1513.65,1491.81,29649,4770104891.0,1.45,-0.54,-8.09,0.24
2024-02-01,600519,1499.18,1503.71,1517.57,1494.68,26485,4272298576.0,1.53,0.34,5.12,0.21
2024-02-02,600519,1508.68,1489.68,1521.46,1474.68,39382,6336691194.0,3.11,-0.93,-14.03,0.31
2024-02-05,600519,1489.68,1523.69,1531.12,1488.93,53130,8590683071.0,2.83,2.28,34.01,0.42
2024-02-06,600519,1523.69,1569.68,1579.16,1519.78,52472,8740646588.0,3.9,3.02,45.99,0.42
2024-02-07,600519,1574.71,1604.67,1608.27,1555.29,52601,8899606867.0,3.38,2.23,34.99,0.42
2024-02-08,600519,1613.69,1599.68,1618.68,1578.68,46757,7953438044.0,2.49,-0.31,-4.99,0.37
2024-02-19,600519,1631.55,1589.11,1631.61,1581.68,36977,6288277980.0,3.12,-0.66,-10.57,0.29
2024-02-20,600519,1591.04,1563.68,1591.04,1550.24,34470,5755266893.0,2.57,-1.6,-25.43,0.27
2024-02-21,600519,1559.7,1611.34,1624.68,1555.68,46154,7868784082.0,4.41,3.05,47.66,0.37
2024-02-22,600519,1601.18,1612.06,1616.69,1594.21,22794,3905984695.0,1.4,0.04,0.72,0.18
2024-02-23,600519,1604.79,1607.77,1618.06,1593.7,27306,4670706950.0,1.51,-0.27,-4.29,0.22
2024-02-26,600519,1601.68,1588.66,1602.42,1578.7,27318,4625594409.0,1.48,-1.19,-19.11,0.22
2024-02-27,600519,1576.68,1583.18,1586.6,1571.68,22080,3718478358.0,0.94,-0.34,-5.48,0.18
2024-02-28,600519,1582.6,1575.23,1590.25,1567.69,31867,5371312847.0,1.42,-0.5,-7.95,0.25
2024-02-29,600519,1575.23,1588.68,1590.18,1572.88,24758,4184917973.0,1.1,0.85,13.45,0.2
2024-03-01,600519,1583.68,1578.74,1588.65,1570.36,26868,4526845398.0,1.15,-0.63,-9.94,0.21
2024-03-04,600519,1572.68,1569.98,1574.67,1563.73,26485,4434401015.0,0.69,-0.55,-8.76,0.21
2024-03-05,600519,1564.49,1588.78,1590.68,1560.36,36238,6102136582.0,1.93,1.2,18.8,0.29
2024-03-06,600519,1584.68,1574.23,1588.68,1571.7,22142,3725582802.0,1.07,-0.92,-14.55,0.18
2024-03-07,600519,1573.68,1577.31,1583.48,1571.68,21599,3633934774.0,0.75,0.2,3.08,0.17
2024-03-08,600519,1574.24,1565.11,1580.36,1563.73,22156,3710678522.0,1.05,-0.77,-12.2,0.18
2024-03-11,600519,1568.68,1588.17,1592.56,1566.86,29895,5048394347.0,1.64,1.47,23.06,0.24
2024-03-12,600519,1587.62,1638.68,1642.78,1584.18,54227,9393309052.0,3.69,3.18,50.51,0.43
2024-03-13,600519,1633.65,1621.13,1641.68,1613.78,26500,4588879420.0,1.7,-1.07,-17.55,0.21
2024-03-14,600519,1612.68,1610.31,1628.52,1605.18,19405,3338768308.0,1.44,-0.67,-10.82,0.15
2024-03-15,600519,1606.18,1611.17,1626.08,1605.68,17834,3066692399.0,1.27,0.05,0.86,0.14
2024-03-18,600519,1608.68,1601.94,1613.53,1592.68,26055,4446059130.0,1.29,-0.57,-9.23,0.21
2024-03-19,600519,1596.68,1601.7,1613.62,1586.79,23948,4093701261.0,1.67,-0.01,-0.24,0.19
2024-03-20,600519,1597.04,1603.28,1607.36,1593.91,15249,2604543856.0,0.84,0.1,1.58,0.12
2024-03-21,600519,1601.78,1602.68,1612.68,1598.18,16596,2839332631.0,0.9,-0.04,-0.6,0.13
2024-03-22,600519,1598.71,1595.03,1602.67,1581.68,25456,4318592818.0,1.31,-0.48,-7.65,0.2
2024-03-25,600519,1592.22,1582.69,1592.45,1574.26,24473,4131446237.0,1.14,-0.77,-12.34,0.19
2024-03-26,600519,1581.14,1602.97,1606.48,1581.14,28069,4782899074.0,1.6,1.28,20.28,0.22
2024-03-27,600519,1598.68,1594.68,1605.68,1592.68,18113,3087792980.0,0.81,-0.52,-8.29,0.14
2024-03-28,600519,1588.68,1595.32,1611.68,1586.88,24642,4201857059.0,1.56,0.04,0.64,0.2
2024-03-29,600519,1595.32,1596.58,1604.67,1591.78,13457,2290584417.0,0.81,0.08,1.26,0.11
2024-04-01,600519,1603.67,1615.01,1627.68,1602.38,27131,4679371035.0,1.58,1.15,18.43,0.22
2024-04-02,600519,1615.68,1607.67,1618.67,1598.73,25449,4360973684.0,1.23,-0.45,-7.34,0.2
2024-04-03,600519,1627.68,1608.79,1633.12,1603.7,29046,5002390042.0,1.83,0.07,1.12,0.23
2024-04-08,600519,1588.68,1560.34,1589.68,1556.28,59167,9907355766.0,2.08,-3.01,-48.45,0.47
2024-04-09,600519,1554.35,1555.9,1566.68,1552.13,25590,4256226333.0,0.93,-0.28,-4.44,0.2
2024-04-10,600519,1555.95,1541.66,1558.67,1538.68,27631,4562853880.0,1.28,-0.92,-14.24,0.22
2024-04-11,600519,1533.79,1541.68,1543.68,1528.37,22766,3736417595.0,0.99,0.0,0.02,0.18
2024-04-12,600519,1544.68,1527.71,1557.68,1527.71,26744,4403968129.0,1.94,-0.91,-13.97,0.21
2024-04-15,600519,1528.69,1566.66,1569.29,1528.66,35818,5960815532.0,2.66,2.55,38.95,0.29
2024-04-16,600519,1559.17,1563.68,1573.24,1552.68,26266,4382796962.0,1.31,-0.19,-2.98,0.21
2024-04-17,600519,1561.68,1560.68,1568.88,1551.68,24819,4130322018.0,1.1,-0.19,-3.0,0.2
2024-04-18,600519,1552.69,1564.46,1576.66,1551.86,26568,4445487745.0,1.59,0.24,3.78,0.21
2024-04-19,600519,1554.46,1540.32,1562.18,1534.96,23500,3879233242.0,1.74,-1.54,-24.14,0.19
2024-04-22,600519,1547.68,1568.74,1572.56,1538.68,29951,5001684635.0,2.2,1.85,28.42,0.24
2024-04-23,600519,1568.68,1585.96,1588.68,1568.68,24980,4217855279.0,1.27,1.1,17.22,0.2
2024-04-24,600519,1590.66,1587.28,1593.59,1577.01,17086,2893555635.0,1.05,0.08,1.32,0.14
2024-04-25,600519,1584.01,1586.72,1589.28,1575.93,14476,2447183879.0,0.84,-0.04,-0.56,0.12
2024-04-26,600519,1587.68,1603.11,1607.68,1587.66,30996,5290248521.0,1.26,1.03,16.39,0.25
2024-04-29,600519,1590.63,1597.68,1621.68,1587.5,41332,7072096590.0,2.13,-0.34,-5.43,0.33
2024-04-30,600519,1598.69,1598.68,1623.56,1598.68,30760,5273902374.0,1.56,0.06,1.0,0.24
2024-05-06,600519,1627.65,1653.88,1658.68,1620.68,59909,10504351712.0,2.38,3.45,55.2,0.48
2024-05-07,600519,1659.47,1663.68,1671.48,1650.36,24925,4413196426.0,1.28,0.59,9.8,0.2
2024-05-08,600519,1663.37,1657.65,1663.65,1649.35,14769,2603293863.0,0.86,-0.36,-6.03,0.12
2024-05-09,600519,1651.68,1649.68,1658.66,1643.68,22387,3929804849.0,0.9,-0.48,-7.97,0.18
2024-05-10,600519,1654.78,1632.66,1661.56,1627.67,26207,4571398242.0,2.05,-1.03,-17.02,0.21
2024-05-13,600519,1625.7,1599.68,1626.34,1594.9,37662,6435415674.0,1.93,-2.02,-32.98,0.3
2024-05-14,600519,1599.67,1595.66,1606.95,1593.69,21274,3623282672.0,0.83,-0.25,-4.02,0.17
2024-05-15,600519,1596.26,1593.68,1601.68,1592.27,15739,2677203002.0,0.59,-0.12,-1.98,0.13
2024-05-16,600519,1598.68,1598.18,1603.56,1583.68,29680,5048754769.0,1.25,0.28,4.5,0.24
2024-05-17,600519,1593.69,1608.68,1610.26,1593.68,28924,4936920634.0,1.04,0.66,10.5,0.23
