日期,开盘,最高,最低,收盘,成交量,成交额
2026-01-05,1.956,2.01,1.955,2.005,121296400,241473245
2026-01-06,2.0,2.021,1.983,2.02,164581800,329922341
2026-01-07,2.025,2.038,2.002,2.018,119273800,241171740
2026-01-08,2.018,2.052,2.008,2.027,159721700,324131974
2026-01-09,2.019,2.062,1.991,2.06,127287200,258293915
2026-01-12,2.089,2.164,2.069,2.159,253338578,537480602
2026-01-13,2.205,2.222,2.084,2.096,386838200,828534966
2026-01-14,2.096,2.162,2.095,2.139,276660399,589435468
2026-01-15,2.12,2.139,2.095,2.136,172357600,365124072
2026-01-16,2.149,2.156,2.115,2.13,186456599,398318912
2026-01-19,2.116,2.132,2.097,2.1,144000500,304275269
2026-01-20,2.1,2.105,2.037,2.054,150839200,311487922
2026-01-21,2.029,2.116,2.029,2.095,195170300,408397744
2026-01-22,2.104,2.141,2.098,2.129,144770075,306783806
2026-01-23,2.133,2.135,2.098,2.121,146716400,310317034
2026-01-26,2.122,2.142,2.088,2.098,110520700,233074099
2026-01-27,2.09,2.135,2.072,2.128,141533846,298230183
2026-01-28,2.143,2.158,2.115,2.124,120419700,257348946
2026-01-29,2.124,2.149,2.088,2.091,141913000,300383254
2026-01-30,2.085,2.125,2.04,2.118,131222300,273956824
2026-02-02,2.108,2.143,2.052,2.058,146489300,306958936
2026-02-03,2.08,2.095,2.009,2.07,132614400,272732492
2026-02-04,2.048,2.048,1.976,2.005,192227600,383869723
2026-02-05,1.977,2.0,1.966,1.973,80463795,159027644
2026-02-06,1.96,1.967,1.92,1.939,99299046,192889710
2026-02-09,1.98,2.015,1.97,2.015,131204000,261660723
2026-02-10,2.024,2.044,2.015,2.031,97752246,198599879
2026-02-11,2.029,2.029,1.992,1.996,110075500,220399700
2026-02-12,1.998,2.035,1.993,2.032,100544000,202682845
2026-02-13,2.02,2.05,2.011,2.029,111149400,225646753
2026-02-24,2.055,2.059,2.006,2.028,112596000,228437375
2026-02-25,2.026,2.03,2.003,2.023,84202686,169691596
2026-02-26,2.028,2.056,2.008,2.053,130502813,265331838
2026-02-27,2.03,2.058,2.02,2.047,87966713,179123732
2026-03-02,2.01,2.046,2.003,2.031,120046400,242883275
2026-03-03,2.03,2.045,1.943,1.946,152603700,303863164
2026-03-04,1.917,1.96,1.912,1.915,123271374,238460940
2026-03-05,1.959,1.993,1.948,1.967,136571700,268823825
2026-03-06,1.958,1.98,1.941,1.97,72859600,142893001
2026-03-09,1.942,1.964,1.882,1.953,120646300,230317075
2026-03-10,1.98,2.006,1.964,1.992,93849900,186406131
2026-03-11,2.001,2.013,1.97,1.973,78074800,155336354
2026-03-12,1.973,1.993,1.936,1.952,76733100,150576142
2026-03-13,1.933,1.956,1.924,1.933,67286097,130445581
2026-03-16,1.93,1.95,1.9,1.947,76519500,147089915
