code,date,action,priority,shares,position_stage,price,ma5,ma17,diff,dea,macd_hist,reason
159915,2026-06-18,HOLD,0,0,,4.269,4.091,4.027,0.0548,0.033,0.0436,无动作
510500,2026-06-18,HOLD,0,0,,8.828,8.602,8.434,0.0348,-0.0231,0.1157,无动作
