date,cash,shares,close,equity,position_ratio,ma5,ma17,diff,dea,macd_hist,action,reason
2024-01-03,100000.0,0,0.405,100000.0,0.0,,,,,,,
2024-01-04,100000.0,0,0.401,100000.0,0.0,,,,,,,
2024-01-05,100000.0,0,0.393,100000.0,0.0,,,,,,,
2024-01-08,100000.0,0,0.389,100000.0,0.0,,,,,,,
2024-01-09,100000.0,0,0.39,100000.0,0.0,,,,,,,
2024-01-10,100000.0,0,0.386,100000.0,0.0,,,,,,,
2024-01-11,100000.0,0,0.39,100000.0,0.0,,,,,,,
2024-01-12,100000.0,0,0.384,100000.0,0.0,,,,,,,
2024-01-15,100000.0,0,0.385,100000.0,0.0,,,,,,,
2024-01-16,100000.0,0,0.385,100000.0,0.0,,,,,,,
2024-01-17,100000.0,0,0.376,100000.0,0.0,,,,,,,
2024-01-18,100000.0,0,0.381,100000.0,0.0,,,,,,,
2024-01-19,100000.0,0,0.381,100000.0,0.0,,,,,,,
2024-01-22,100000.0,0,0.374,100000.0,0.0,,,,,,,
2024-01-23,100000.0,0,0.375,100000.0,0.0,,,,,,,
2024-01-24,50032.814340000004,131800,0.379,99985.01434,0.49959686788799235,0.378,0.38711764705882357,-0.007442948524755799,-0.006397539936454161,-0.002090817176603277,BUY_HALF,低位MACD且上穿MA5
2024-01-25,100365.31006,0,0.382,100365.31006,0.0,0.3782,0.3856470588235294,-0.006954442845665487,-0.006508920518296426,-0.0008910446547381219,SELL_ALL,跌破MA17清仓
2024-01-26,100365.31006,0,0.371,100365.31006,0.0,0.3762,0.38364705882352945,-0.007369950443578632,-0.006681126503352868,-0.0013776478804515286,,
2024-01-29,100365.31006,0,0.36,100365.31006,0.0,0.3734,0.38123529411764706,-0.008488995422643586,-0.007042700287211012,-0.0028925902708651485,,
2024-01-30,100365.31006,0,0.353,100365.31006,0.0,0.369,0.37888235294117645,-0.009827403934188572,-0.007599641016606524,-0.004455525835164096,,
2024-01-31,100365.31006,0,0.341,100365.31006,0.0,0.3614,0.3760588235294118,-0.011721286341419723,-0.008423970081569164,-0.0065946325197011185,,
2024-02-01,100365.31006,0,0.344,100365.31006,0.0,0.3538,0.3733529411764706,-0.012832205192197188,-0.00930561710369477,-0.007053176177004836,,
2024-02-02,100365.31006,0,0.334,100365.31006,0.0,0.3464,0.37029411764705883,-0.014354068050302649,-0.010315307293016347,-0.008077521514572604,,
2024-02-05,100365.31006,0,0.34,100365.31006,0.0,0.3424,0.36735294117647055,-0.014904199143686625,-0.011233085663150403,-0.007342226961072444,,
2024-02-06,50183.66008000001,138200,0.363,100350.26008000001,0.49991499733041844,0.3444,0.36611764705882355,-0.013330607275042372,-0.011652589985528797,-0.00335603457902715,BUY_HALF,低位MACD且上穿MA5
