date,cash,shares,close,equity,position_ratio,ma5,ma17,diff,dea,macd_hist,action,reason
2024-01-03,100000.0,0,3.01,100000.0,0.0,,,,,,,
2024-01-04,100000.0,0,3.034,100000.0,0.0,,,,,,,
2024-01-05,100000.0,0,3.044,100000.0,0.0,,,,,,,
2024-01-08,100000.0,0,3.015,100000.0,0.0,,,,,,,
2024-01-09,100000.0,0,3.038,100000.0,0.0,,,,,,,
2024-01-10,100000.0,0,3.023,100000.0,0.0,,,,,,,
2024-01-11,100000.0,0,2.995,100000.0,0.0,,,,,,,
2024-01-12,100000.0,0,3.01,100000.0,0.0,,,,,,,
2024-01-15,100000.0,0,3.024,100000.0,0.0,,,,,,,
2024-01-16,100000.0,0,3.034,100000.0,0.0,,,,,,,
2024-01-17,100000.0,0,2.997,100000.0,0.0,,,,,,,
2024-01-18,100000.0,0,2.972,100000.0,0.0,,,,,,,
2024-01-19,100000.0,0,2.95,100000.0,0.0,,,,,,,
2024-01-22,100000.0,0,2.881,100000.0,0.0,,,,,,,
2024-01-23,100000.0,0,2.768,100000.0,0.0,,,,,,,
2024-01-24,100000.0,0,2.836,100000.0,0.0,2.8814,2.9765294117647056,-0.029647489538067617,-0.005522013727878328,-0.04825095162037858,,
2024-01-25,50258.28196000001,17100,2.908,99985.08196000001,0.4973421937073941,2.8686,2.9728823529411765,-0.029120898965503628,-0.010241790775403388,-0.03775821638020048,BUY_HALF,低位MACD且上穿MA5
2024-01-26,100671.05359,0,2.949,100671.05359,0.0,2.8684,2.969294117647059,-0.025105810636964154,-0.013214594747715542,-0.023782431778497225,SELL_ALL,跌破MA17清仓
2024-01-29,100671.05359,0,2.964,100671.05359,0.0,2.885,2.965176470588235,-0.020477398862331242,-0.014667155570638683,-0.011620486583385117,,
2024-01-30,100671.05359,0,2.93,100671.05359,0.0,2.9173999999999998,2.958470588235294,-0.019330040362407264,-0.0155997325289924,-0.007460615666829727,,
2024-01-31,100671.05359,0,2.934,100671.05359,0.0,2.9370000000000003,2.953705882352941,-0.017891739083408353,-0.01605813383987559,-0.003667210487065524,,
2024-02-01,100671.05359,0,2.904,100671.05359,0.0,2.9362000000000004,2.945823529411765,-0.018954132792643463,-0.016637333630429164,-0.004633598324428598,,
2024-02-02,100671.05359,0,2.912,100671.05359,0.0,2.9288,2.9392941176470586,-0.01893231438486298,-0.01709632978131593,-0.003671969207094103,,
2024-02-05,100671.05359,0,2.918,100671.05359,0.0,2.9196,2.934764705882353,-0.01822083484161796,-0.017321230793376337,-0.0017992080964832485,,
2024-02-06,50335.95759,17000,2.96,100655.95759,0.49992073201436815,2.9256,2.9318235294117643,-0.014105335657119689,-0.01667805176612501,0.005145432218010643,BUY_HALF,低位MACD且上穿MA5
2024-02-07,154.10754999999335,33700,3.004,101388.90755,0.9984800354030444,2.9396,2.9306470588235296,-0.007210225633285994,-0.014784486539557207,0.015148521812542427,BUY_FULL,次日仍站上MA5
2024-02-08,154.10754999999335,33700,3.005,101422.60754999999,0.9984805404463298,2.9598,2.928941176470588,-0.0016461340119544587,-0.012156816034036658,0.0210213640441644,,
2024-02-19,154.10754999999335,33700,3.075,103781.60754999999,0.99851507840707,2.9924,2.933529411764706,0.008316001976404142,-0.008062252431948498,0.032756508816705276,,
2024-02-20,154.10754999999335,33700,3.119,105264.40755,0.998535995655257,3.0326,2.9421764705882354,0.019536296531654784,-0.0025425426392278426,0.044157678341765254,,
2024-02-21,154.10754999999335,33700,3.112,105028.50755000001,0.9985327074182537,3.063,2.9517058823529414,0.02754608518284396,0.0034751829251865184,0.048141804515314884,,
