code,date,action,shares,price,cash_after,holding_after,reason
510050,2024-01-24,BUY_HALF,21700,2.295,50183.56,21700,低位MACD且上穿MA5
510050,2024-01-25,BUY_FULL,21300,2.347,177.46,43000,次日仍站上MA5
510050,2024-02-01,SELL_ALL,43000,2.283,98317.01,0,跌破MA17清仓
510050,2024-02-05,BUY_HALF,21400,2.289,49317.72,21400,低位MACD且上穿MA5
510050,2024-02-06,BUY_FULL,20900,2.351,167.08,42300,次日仍站上MA5
510050,2024-03-19,SELL_ALL,42300,2.454,103940.13,0,跌破MA17清仓
510050,2024-06-14,BUY_HALF,21000,2.469,52075.58,21000,低位MACD且上穿MA5
510050,2024-06-17,SELL_ALL,21000,2.454,103594.12,0,跌破MA17清仓
510050,2024-06-19,BUY_HALF,21000,2.458,51960.63,21000,低位MACD且上穿MA5
510050,2024-06-20,SELL_ALL,21000,2.451,103416.19,0,跌破MA17清仓
510050,2024-06-28,BUY_HALF,21100,2.441,51895.64,21100,低位MACD且上穿MA5
510050,2024-07-01,SELL_ALL,21100,2.45,103575.13,0,跌破MA17清仓
510050,2024-07-09,BUY_HALF,21100,2.444,51991.26,21100,低位MACD且上穿MA5
510050,2024-07-10,SELL_ALL,21100,2.44,103459.82,0,跌破MA17清仓
510050,2024-08-12,BUY_HALF,21500,2.404,51758.31,21500,低位MACD且上穿MA5
510050,2024-08-13,SELL_ALL,21500,2.403,103407.31,0,跌破MA17清仓
510050,2024-08-15,BUY_HALF,21300,2.422,51803.24,21300,低位MACD且上穿MA5
510050,2024-08-16,BUY_FULL,21200,2.434,186.95,42500,次日仍站上MA5
510050,2024-08-29,SELL_ALL,42500,2.407,102453.77,0,跌破MA17清仓
510050,2024-09-18,BUY_HALF,22200,2.305,51267.41,22200,低位MACD且上穿MA5
510050,2024-09-19,SELL_ALL,22200,2.319,102733.77,0,跌破MA17清仓
510050,2024-12-06,BUY_HALF,18900,2.716,51385.97,18900,低位MACD且上穿MA5
510050,2024-12-09,SELL_ALL,18900,2.719,102759.65,0,跌破MA17清仓
510050,2024-12-18,BUY_HALF,18800,2.719,51627.12,18800,低位MACD且上穿MA5
510050,2024-12-19,SELL_ALL,18800,2.709,102541.04,0,跌破MA17清仓
510050,2024-12-23,BUY_HALF,18800,2.724,51314.48,18800,低位MACD且上穿MA5
510050,2024-12-24,BUY_FULL,18600,2.753,93.31,37400,次日仍站上MA5
510050,2025-01-02,SELL_ALL,37400,2.667,99809.19,0,跌破MA17清仓
510050,2025-01-08,BUY_HALF,18800,2.651,49955.44,18800,低位MACD且上穿MA5
510050,2025-01-09,SELL_ALL,18800,2.638,99534.96,0,跌破MA17清仓
510050,2025-01-14,BUY_HALF,18700,2.652,49927.68,18700,低位MACD且上穿MA5
510050,2025-01-15,SELL_ALL,18700,2.646,99393.04,0,跌破MA17清仓
510050,2025-01-24,BUY_HALF,18800,2.638,49783.76,18800,低位MACD且上穿MA5
510050,2025-01-27,BUY_FULL,18800,2.643,80.45,37600,次日仍站上MA5
510050,2025-02-05,SELL_ALL,37600,2.619,98525.31,0,跌破MA17清仓
510050,2025-02-06,BUY_HALF,18600,2.638,49443.79,18600,低位MACD且上穿MA5
510050,2025-02-07,BUY_FULL,18500,2.668,70.98,37100,次日仍站上MA5
510050,2025-02-28,SELL_ALL,37100,2.705,100396.38,0,跌破MA17清仓
510050,2025-03-06,BUY_HALF,18300,2.74,50239.33,18300,低位MACD且上穿MA5
510050,2025-03-07,BUY_FULL,18300,2.739,100.6,36600,次日仍站上MA5
510050,2025-03-21,SELL_ALL,36600,2.734,100134.98,0,跌破MA17清仓
510050,2025-04-10,BUY_HALF,18700,2.672,50153.59,18700,低位MACD且上穿MA5
510050,2025-04-11,SELL_ALL,18700,2.677,100198.47,0,跌破MA17清仓
510050,2025-04-24,BUY_HALF,18400,2.715,50227.48,18400,低位MACD且上穿MA5
510050,2025-04-30,SELL_ALL,18400,2.693,99763.82,0,跌破MA17清仓
510050,2025-05-06,BUY_HALF,18400,2.707,49940.08,18400,低位MACD且上穿MA5
510050,2025-05-07,BUY_FULL,18200,2.731,220.96,36600,次日仍站上MA5
510050,2025-05-27,SELL_ALL,36600,2.75,100840.77,0,跌破MA17清仓
510050,2025-06-11,BUY_HALF,18200,2.762,50557.29,18200,低位MACD且上穿MA5
510050,2025-06-12,SELL_ALL,18200,2.76,100774.22,0,跌破MA17清仓
510050,2025-06-16,BUY_HALF,18200,2.753,50654.59,18200,低位MACD且上穿MA5
510050,2025-06-17,SELL_ALL,18200,2.753,100744.16,0,跌破MA17清仓
510050,2025-06-20,BUY_HALF,18300,2.749,50422.36,18300,低位MACD且上穿MA5
510050,2025-06-23,BUY_FULL,18200,2.762,138.88,36500,次日仍站上MA5
510050,2025-08-01,SELL_ALL,36500,2.876,105081.39,0,跌破MA17清仓
510050,2025-08-12,BUY_HALF,17900,2.932,52582.85,17900,低位MACD且上穿MA5
510050,2025-08-13,BUY_FULL,17800,2.94,235.15,35700,次日仍站上MA5
510050,2025-09-04,SELL_ALL,35700,3.034,108516.45,0,跌破MA17清仓
510050,2025-10-21,BUY_HALF,17200,3.144,54423.43,17200,低位MACD且上穿MA5
510050,2025-10-22,BUY_FULL,17200,3.148,261.59,34400,次日仍站上MA5
510050,2025-11-04,SELL_ALL,34400,3.156,108795.42,0,跌破MA17清仓
510050,2025-11-06,BUY_HALF,17000,3.19,54549.15,17000,低位MACD且上穿MA5
510050,2025-11-07,BUY_FULL,17100,3.186,52.2,34100,次日仍站上MA5
510050,2025-11-14,SELL_ALL,34100,3.183,108559.94,0,跌破MA17清仓
510050,2025-12-05,BUY_HALF,17200,3.145,54449.71,17200,低位MACD且上穿MA5
510050,2025-12-08,BUY_FULL,17200,3.164,12.59,34400,次日仍站上MA5
510050,2025-12-11,SELL_ALL,34400,3.12,107308.39,0,跌破MA17清仓
510050,2025-12-15,BUY_HALF,17100,3.133,53718.02,17100,低位MACD且上穿MA5
510050,2025-12-16,SELL_ALL,17100,3.103,106763.4,0,跌破MA17清仓
510050,2025-12-22,BUY_HALF,17200,3.092,53565.04,17200,低位MACD且上穿MA5
510050,2025-12-23,SELL_ALL,17200,3.098,106834.66,0,跌破MA17清仓
510050,2026-01-05,BUY_HALF,16800,3.174,53495.46,16800,低位MACD且上穿MA5
510050,2026-01-06,BUY_FULL,16500,3.235,101.95,33300,次日仍站上MA5
510050,2026-01-16,SELL_ALL,33300,3.16,105298.38,0,跌破MA17清仓
510050,2026-02-04,BUY_HALF,16700,3.147,52727.71,16700,低位MACD且上穿MA5
510050,2026-02-05,SELL_ALL,16700,3.137,105099.9,0,跌破MA17清仓
510050,2026-02-09,BUY_HALF,16600,3.161,52611.55,16600,低位MACD且上穿MA5
510050,2026-02-10,BUY_FULL,16500,3.17,290.86,33100,次日仍站上MA5
510050,2026-02-13,SELL_ALL,33100,3.114,103333.34,0,跌破MA17清仓
510050,2026-02-27,BUY_HALF,16500,3.123,51788.38,16500,低位MACD且上穿MA5
510050,2026-03-02,SELL_ALL,16500,3.125,103335.41,0,跌破MA17清仓
510050,2026-03-10,BUY_HALF,16800,3.06,51911.99,16800,低位MACD且上穿MA5
510050,2026-03-11,SELL_ALL,16800,3.062,103338.16,0,跌破MA17清仓
510050,2026-03-25,BUY_HALF,17600,2.93,51754.69,17600,低位MACD且上穿MA5
510050,2026-03-26,SELL_ALL,17600,2.897,102726.59,0,跌破MA17清仓
510050,2026-03-27,BUY_HALF,17600,2.909,51512.83,17600,低位MACD且上穿MA5
510050,2026-03-30,SELL_ALL,17600,2.905,102625.49,0,跌破MA17清仓
510050,2026-04-01,BUY_HALF,17300,2.951,51557.88,17300,低位MACD且上穿MA5
510050,2026-04-02,SELL_ALL,17300,2.926,102162.49,0,跌破MA17清仓
510050,2026-04-08,BUY_HALF,17100,2.978,51223.42,17100,低位MACD且上穿MA5
510050,2026-04-09,BUY_FULL,17300,2.958,34.66,34400,次日仍站上MA5
510050,2026-05-15,SELL_ALL,34400,3.035,104407.34,0,跌破MA17清仓
510050,2026-06-02,BUY_HALF,17400,2.993,52313.52,17400,低位MACD且上穿MA5
510050,2026-06-03,SELL_ALL,17400,2.996,104428.28,0,跌破MA17清仓
510050,2026-06-10,BUY_HALF,17800,2.931,52240.83,17800,低位MACD且上穿MA5
510050,2026-06-11,SELL_ALL,17800,2.928,104343.59,0,跌破MA17清仓
