code,date,action,shares,price,cash_after,holding_after,reason
512690,2024-01-25,BUY_HALF,78900,0.633,50041.32,78900,低位MACD且上穿MA5
512690,2024-01-26,SELL_ALL,78900,0.632,99891.16,0,跌破MA17清仓
512690,2024-02-06,BUY_HALF,79500,0.628,49950.18,79500,低位MACD且上穿MA5
512690,2024-02-07,BUY_FULL,78000,0.64,15.2,157500,次日仍站上MA5
512690,2024-03-08,SELL_ALL,157500,0.655,103146.75,0,跌破MA17清仓
512690,2024-04-22,BUY_HALF,76600,0.673,51579.49,76600,低位MACD且上穿MA5
512690,2024-04-23,BUY_FULL,75400,0.683,65.84,152000,次日仍站上MA5
512690,2024-05-23,SELL_ALL,152000,0.701,106585.87,0,跌破MA17清仓
512690,2024-06-04,BUY_HALF,78400,0.679,53336.3,78400,低位MACD且上穿MA5
512690,2024-06-05,SELL_ALL,78400,0.671,105926.92,0,跌破MA17清仓
512690,2024-06-26,BUY_HALF,86700,0.61,53024.06,86700,低位MACD且上穿MA5
512690,2024-06-27,SELL_ALL,86700,0.6,105028.45,0,跌破MA17清仓
512690,2024-07-11,BUY_HALF,90200,0.582,52516.3,90200,低位MACD且上穿MA5
512690,2024-07-12,SELL_ALL,90200,0.587,105447.82,0,跌破MA17清仓
512690,2024-07-31,BUY_HALF,92100,0.572,52750.81,92100,低位MACD且上穿MA5
512690,2024-08-01,SELL_ALL,92100,0.559,104219.27,0,跌破MA17清仓
512690,2024-08-05,BUY_HALF,92300,0.564,52146.45,92300,低位MACD且上穿MA5
512690,2024-08-06,SELL_ALL,92300,0.568,104557.12,0,跌破MA17清仓
512690,2024-08-30,BUY_HALF,95500,0.547,52302.95,95500,低位MACD且上穿MA5
512690,2024-09-02,SELL_ALL,95500,0.526,102520.88,0,跌破MA17清仓
512690,2024-09-03,BUY_HALF,96100,0.533,51284.21,96100,低位MACD且上穿MA5
512690,2024-09-04,SELL_ALL,96100,0.528,102009.79,0,跌破MA17清仓
512690,2024-09-19,BUY_HALF,102300,0.498,51049.11,102300,低位MACD且上穿MA5
512690,2024-09-20,SELL_ALL,102300,0.499,102081.49,0,跌破MA17清仓
512690,2024-12-27,BUY_HALF,82000,0.622,51062.19,82000,低位MACD且上穿MA5
512690,2024-12-30,SELL_ALL,82000,0.617,101641.02,0,跌破MA17清仓
512690,2025-01-14,BUY_HALF,86500,0.587,50850.28,86500,低位MACD且上穿MA5
512690,2025-01-15,SELL_ALL,86500,0.584,101351.13,0,跌破MA17清仓
512690,2025-02-07,BUY_HALF,88700,0.571,50688.23,88700,低位MACD且上穿MA5
512690,2025-02-10,SELL_ALL,88700,0.572,101409.41,0,跌破MA17清仓
512690,2025-02-12,BUY_HALF,88400,0.573,50741.02,88400,低位MACD且上穿MA5
512690,2025-02-13,BUY_FULL,85800,0.591,18.0,174200,次日仍站上MA5
512690,2025-03-26,SELL_ALL,174200,0.623,108512.05,0,跌破MA17清仓
512690,2025-05-07,BUY_HALF,90500,0.599,54286.28,90500,低位MACD且上穿MA5
512690,2025-05-08,SELL_ALL,90500,0.602,108750.94,0,跌破MA17清仓
512690,2025-05-28,BUY_HALF,92600,0.587,54378.43,92600,低位MACD且上穿MA5
512690,2025-05-29,SELL_ALL,92600,0.588,108810.9,0,跌破MA17清仓
512690,2025-06-18,BUY_HALF,98800,0.55,54454.6,98800,低位MACD且上穿MA5
512690,2025-06-19,SELL_ALL,98800,0.546,108383.21,0,跌破MA17清仓
512690,2025-06-20,BUY_HALF,97000,0.558,54240.97,97000,低位MACD且上穿MA5
512690,2025-06-23,SELL_ALL,97000,0.551,107671.94,0,跌破MA17清仓
