code,date,action,shares,price,cash_after,holding_after,reason
512480,2024-01-25,BUY_HALF,71600,0.698,50008.21,71600,低位MACD且上穿MA5
512480,2024-01-26,SELL_ALL,71600,0.675,98323.71,0,跌破MA17清仓
512480,2024-02-06,BUY_HALF,79000,0.622,49170.97,79000,低位MACD且上穿MA5
512480,2024-02-07,SELL_ALL,79000,0.637,99478.87,0,跌破MA17清仓
512480,2024-04-15,BUY_HALF,73500,0.676,49777.96,73500,低位MACD且上穿MA5
512480,2024-04-16,SELL_ALL,73500,0.652,97685.59,0,跌破MA17清仓
512480,2024-04-17,BUY_HALF,71700,0.681,48843.24,71700,低位MACD且上穿MA5
512480,2024-04-18,SELL_ALL,71700,0.675,97226.22,0,跌破MA17清仓
512480,2024-04-24,BUY_HALF,72600,0.669,48642.25,72600,低位MACD且上穿MA5
512480,2024-04-25,SELL_ALL,72600,0.671,97342.23,0,跌破MA17清仓
512480,2024-05-17,BUY_HALF,70600,0.689,48684.24,70600,低位MACD且上穿MA5
512480,2024-05-20,SELL_ALL,70600,0.69,97383.63,0,跌破MA17清仓
512480,2024-05-27,BUY_HALF,71400,0.681,48745.64,71400,低位MACD且上穿MA5
512480,2024-05-28,SELL_ALL,71400,0.683,97497.21,0,跌破MA17清仓
512480,2024-08-09,BUY_HALF,69900,0.697,48762.29,69900,低位MACD且上穿MA5
512480,2024-08-12,SELL_ALL,69900,0.691,97048.7,0,跌破MA17清仓
512480,2024-08-13,BUY_HALF,69500,0.697,48592.67,69500,低位MACD且上穿MA5
512480,2024-08-14,SELL_ALL,69500,0.688,96394.33,0,跌破MA17清仓
512480,2024-08-29,BUY_HALF,73400,0.656,48229.48,73400,低位MACD且上穿MA5
512480,2024-08-30,BUY_FULL,70900,0.68,3.02,144300,次日仍站上MA5
512480,2024-09-02,SELL_ALL,144300,0.654,94346.91,0,跌破MA17清仓
512480,2024-09-24,BUY_HALF,73300,0.643,47200.87,73300,低位MACD且上穿MA5
512480,2024-09-25,BUY_FULL,72900,0.647,20.42,146200,次日仍站上MA5
512480,2024-11-01,SELL_ALL,146200,0.943,137845.66,0,跌破MA17清仓
512480,2025-01-14,BUY_HALF,68200,1.01,68942.99,68200,低位MACD且上穿MA5
512480,2025-01-15,BUY_FULL,68300,1.009,7.62,136500,次日仍站上MA5
512480,2025-01-16,SELL_ALL,136500,0.988,134829.16,0,跌破MA17清仓
512480,2025-01-17,BUY_HALF,66600,1.011,67476.36,66600,低位MACD且上穿MA5
512480,2025-01-20,BUY_FULL,66700,1.01,89.15,133300,次日仍站上MA5
512480,2025-01-27,SELL_ALL,133300,0.99,132016.56,0,跌破MA17清仓
512480,2025-04-10,BUY_HALF,65600,1.005,66068.78,65600,低位MACD且上穿MA5
512480,2025-04-11,BUY_FULL,62600,1.055,5.97,128200,次日仍站上MA5
512480,2025-05-09,SELL_ALL,128200,1.043,133678.45,0,跌破MA17清仓
512480,2025-05-20,BUY_HALF,64700,1.032,66888.02,64700,低位MACD且上穿MA5
512480,2025-05-21,SELL_ALL,64700,1.022,132991.59,0,跌破MA17清仓
512480,2025-05-29,BUY_HALF,65700,1.011,66548.96,65700,低位MACD且上穿MA5
512480,2025-05-30,SELL_ALL,65700,0.996,131966.53,0,跌破MA17清仓
512480,2025-06-03,BUY_HALF,65700,1.004,65983.94,65700,低位MACD且上穿MA5
512480,2025-06-04,SELL_ALL,65700,1.008,132189.67,0,跌破MA17清仓
512480,2025-06-18,BUY_HALF,66100,0.999,66135.96,66100,低位MACD且上穿MA5
512480,2025-06-19,SELL_ALL,66100,0.999,132150.05,0,跌破MA17清仓
512480,2025-06-23,BUY_HALF,65800,1.003,66132.85,65800,低位MACD且上穿MA5
512480,2025-06-24,BUY_FULL,64800,1.02,17.02,130600,次日仍站上MA5
512480,2025-07-09,SELL_ALL,130600,1.019,133058.5,0,跌破MA17清仓
512480,2025-11-26,BUY_HALF,48500,1.369,66642.08,48500,低位MACD且上穿MA5
512480,2025-11-27,SELL_ALL,48500,1.375,133309.57,0,跌破MA17清仓
512480,2025-12-04,BUY_HALF,47200,1.411,66690.39,47200,低位MACD且上穿MA5
512480,2025-12-05,BUY_FULL,47400,1.406,26.0,94600,次日仍站上MA5
512480,2025-12-16,SELL_ALL,94600,1.382,130723.98,0,跌破MA17清仓
512480,2025-12-17,BUY_HALF,46200,1.412,65470.01,46200,低位MACD且上穿MA5
512480,2025-12-18,SELL_ALL,46200,1.401,130176.79,0,跌破MA17清仓
512480,2025-12-22,BUY_HALF,45300,1.436,65106.48,45300,低位MACD且上穿MA5
512480,2025-12-23,BUY_FULL,44800,1.45,126.99,90100,次日仍站上MA5
512480,2026-02-02,SELL_ALL,90100,1.618,145865.05,0,跌破MA17清仓
512480,2026-03-10,BUY_HALF,45700,1.595,72951.69,45700,低位MACD且上穿MA5
