date,cash,shares,close,equity,position_ratio,ma5,ma17,diff,dea,macd_hist,action,reason
2024-01-03,100000.0,0,7.28,100000.0,0.0,,,,,,,
2024-01-04,100000.0,0,7.19,100000.0,0.0,,,,,,,
2024-01-05,100000.0,0,7.35,100000.0,0.0,,,,,,,
2024-01-08,100000.0,0,7.23,100000.0,0.0,,,,,,,
2024-01-09,100000.0,0,7.26,100000.0,0.0,,,,,,,
2024-01-10,100000.0,0,7.17,100000.0,0.0,,,,,,,
2024-01-11,100000.0,0,7.25,100000.0,0.0,,,,,,,
2024-01-12,100000.0,0,7.27,100000.0,0.0,,,,,,,
2024-01-15,100000.0,0,7.29,100000.0,0.0,,,,,,,
2024-01-16,100000.0,0,7.42,100000.0,0.0,,,,,,,
2024-01-17,100000.0,0,7.31,100000.0,0.0,,,,,,,
2024-01-18,100000.0,0,7.28,100000.0,0.0,,,,,,,
2024-01-19,100000.0,0,7.25,100000.0,0.0,,,,,,,
2024-01-22,100000.0,0,7.18,100000.0,0.0,,,,,,,
2024-01-23,100000.0,0,7.24,100000.0,0.0,,,,,,,
2024-01-24,100000.0,0,7.41,100000.0,0.0,7.272,7.274705882352941,0.0033940354931738526,-0.002410536237173871,0.011609143460695446,,
2024-01-25,100000.0,0,7.58,100000.0,0.0,7.331999999999999,7.291764705882352,0.0266108768479123,0.003393746379843364,0.046434260936137874,,
2024-01-26,100000.0,0,7.7,100000.0,0.0,7.422,7.316470588235295,0.05407010153498337,0.013529017410871366,0.081082168248224,,
2024-01-29,100000.0,0,7.78,100000.0,0.0,7.542,7.351176470588236,0.08134932199881373,0.02709307832845984,0.10851248734070779,,
2024-01-30,100000.0,0,7.58,100000.0,0.0,7.609999999999999,7.364705882352942,0.0858404568693496,0.03884255403663779,0.09399580566542362,,
2024-01-31,100000.0,0,7.54,100000.0,0.0,7.636,7.382941176470588,0.08519003026513339,0.04811204928233691,0.07415596196559296,,
2024-02-01,100000.0,0,7.49,100000.0,0.0,7.618,7.396470588235295,0.07972100622746936,0.0544338406713634,0.05057433111221192,,
2024-02-02,100000.0,0,7.35,100000.0,0.0,7.548,7.407058823529412,0.06335956567115186,0.056218985671321095,0.014281159999661536,,
2024-02-05,100000.0,0,7.46,100000.0,0.0,7.484,7.419411764705883,0.05859365565499264,0.056693919668055405,0.003799471973874466,,
2024-02-06,100000.0,0,7.76,100000.0,0.0,7.5200000000000005,7.448235294117646,0.07812357053515306,0.06097984984147494,0.034287441387356246,,
