code,date,action,shares,price,cash_after,holding_after,reason
512800,2024-04-15,BUY_HALF,42200,1.184,50020.21,42200,低位MACD且上穿MA5
512800,2024-04-16,BUY_FULL,42100,1.185,116.74,84300,次日仍站上MA5
512800,2024-05-30,SELL_ALL,84300,1.249,105375.86,0,跌破MA17清仓
512800,2024-09-18,BUY_HALF,43600,1.207,52734.87,43600,低位MACD且上穿MA5
512800,2024-09-19,SELL_ALL,43600,1.208,105387.87,0,跌破MA17清仓
512800,2024-12-03,BUY_HALF,37300,1.409,52816.4,37300,低位MACD且上穿MA5
512800,2024-12-04,BUY_FULL,37500,1.408,0.56,74800,次日仍站上MA5
512800,2025-01-02,SELL_ALL,74800,1.451,108502.8,0,跌破MA17清仓
512800,2025-01-23,BUY_HALF,36600,1.479,54355.16,36600,低位MACD且上穿MA5
512800,2025-01-24,BUY_FULL,36600,1.483,61.08,73200,次日仍站上MA5
512800,2025-02-24,SELL_ALL,73200,1.481,108437.76,0,跌破MA17清仓
512800,2025-03-05,BUY_HALF,35900,1.509,54248.4,35900,低位MACD且上穿MA5
512800,2025-03-06,BUY_FULL,36100,1.502,9.94,72000,次日仍站上MA5
512800,2025-03-10,SELL_ALL,72000,1.49,107257.75,0,跌破MA17清仓
512800,2025-03-13,BUY_HALF,35600,1.502,53770.51,35600,低位MACD且上穿MA5
512800,2025-03-14,BUY_FULL,35300,1.522,27.79,70900,次日仍站上MA5
512800,2025-04-01,SELL_ALL,70900,1.515,107409.07,0,跌破MA17清仓
512800,2025-04-02,BUY_HALF,35100,1.528,53760.18,35100,低位MACD且上穿MA5
512800,2025-04-03,BUY_FULL,35000,1.533,89.08,70100,次日仍站上MA5
512800,2025-04-07,SELL_ALL,70100,1.485,104156.35,0,跌破MA17清仓
512800,2025-05-07,BUY_HALF,33700,1.542,52175.36,33700,低位MACD且上穿MA5
512800,2025-05-08,BUY_FULL,33400,1.558,122.55,67100,次日仍站上MA5
512800,2025-07-07,SELL_ALL,67100,0.894,60091.96,0,跌破MA17清仓
512800,2025-07-14,BUY_HALF,33500,0.895,30100.46,33500,低位MACD且上穿MA5
