date,cash,shares,close,equity,position_ratio,ma5,ma17,diff,dea,macd_hist,action,reason
2024-01-03,100000.0,0,0.634,100000.0,0.0,,,,,,,
2024-01-04,100000.0,0,0.621,100000.0,0.0,,,,,,,
2024-01-05,100000.0,0,0.615,100000.0,0.0,,,,,,,
2024-01-08,100000.0,0,0.606,100000.0,0.0,,,,,,,
2024-01-09,100000.0,0,0.617,100000.0,0.0,,,,,,,
2024-01-10,100000.0,0,0.621,100000.0,0.0,,,,,,,
2024-01-11,100000.0,0,0.638,100000.0,0.0,,,,,,,
2024-01-12,100000.0,0,0.636,100000.0,0.0,,,,,,,
2024-01-15,100000.0,0,0.626,100000.0,0.0,,,,,,,
2024-01-16,100000.0,0,0.636,100000.0,0.0,,,,,,,
2024-01-17,100000.0,0,0.614,100000.0,0.0,,,,,,,
2024-01-18,100000.0,0,0.632,100000.0,0.0,,,,,,,
2024-01-19,100000.0,0,0.625,100000.0,0.0,,,,,,,
2024-01-22,100000.0,0,0.605,100000.0,0.0,,,,,,,
2024-01-23,100000.0,0,0.611,100000.0,0.0,,,,,,,
2024-01-24,100000.0,0,0.607,100000.0,0.0,0.616,0.6220588235294118,-0.004210761516336814,-0.0022901972757280987,-0.0038411284812174306,,
2024-01-25,50008.0069,81000,0.617,99985.00690000001,0.49984494225203674,0.6130000000000001,0.6212352941176471,-0.004071857069594675,-0.002646529234501414,-0.002850655670186523,BUY_HALF,低位MACD且上穿MA5
2024-01-26,98998.30540000001,0,0.605,98998.30540000001,0.0,0.609,0.6195294117647059,-0.00487389082705203,-0.003092001553011537,-0.003563778548080985,SELL_ALL,跌破MA17清仓
2024-01-29,98998.30540000001,0,0.576,98998.30540000001,0.0,0.6032,0.6168823529411764,-0.00776011225153217,-0.004025623692715664,-0.007468977117633011,,
2024-01-30,98998.30540000001,0,0.562,98998.30540000001,0.0,0.5934,0.613764705882353,-0.011049771632517746,-0.005430453280676081,-0.01123863670368333,,
2024-01-31,98998.30540000001,0,0.551,98998.30540000001,0.0,0.5822,0.610529411764706,-0.01437870964744925,-0.007220104554030715,-0.01431721018683707,,
2024-02-01,98998.30540000001,0,0.553,98998.30540000001,0.0,0.5694000000000001,0.6067647058823529,-0.016663447868293657,-0.009108773216883304,-0.015109349302820707,,
2024-02-02,98998.30540000001,0,0.534,98998.30540000001,0.0,0.5551999999999999,0.6016470588235294,-0.019779257609772394,-0.011242870095461122,-0.017072775028622544,,
2024-02-05,98998.30540000001,0,0.523,98998.30540000001,0.0,0.5446000000000001,0.5948823529411764,-0.022872507320506164,-0.013568797540470131,-0.018607419560072065,,
2024-02-06,49532.970250000006,89100,0.555,98983.47025000001,0.4995834140296774,0.5432,0.5901176470588235,-0.022482631654323182,-0.015351564363240743,-0.014262134582164878,BUY_HALF,低位MACD且上穿MA5
2024-02-07,100037.51434,0,0.567,100037.51434,0.0,0.5464,0.5866470588235294,-0.02096369622749239,-0.01647399073609107,-0.008979410982802638,SELL_ALL,跌破MA17清仓
2024-02-08,100037.51434,0,0.58,100037.51434,0.0,0.5518,0.5833529411764706,-0.018497707545758968,-0.01687873409802465,-0.0032379468954686352,,
2024-02-19,100037.51434,0,0.577,100037.51434,0.0,0.5604,0.5811764705882353,-0.01659418128462009,-0.016821823535343738,0.00045528450144729365,,
2024-02-20,100037.51434,0,0.575,100037.51434,0.0,0.5708,0.5778235294117646,-0.015073251236324747,-0.01647210907553994,0.0027977156784303875,,
2024-02-21,100037.51434,0,0.583,100037.51434,0.0,0.5763999999999999,0.5753529411764705,-0.013071687794083964,-0.015792024819248747,0.005440674050329566,,
2024-02-22,100037.51434,0,0.587,100037.51434,0.0,0.5804,0.5742941176470588,-0.011035457885843036,-0.014840711432567606,0.00761050709344914,,
2024-02-23,100037.51434,0,0.593,100037.51434,0.0,0.583,0.5732352941176471,-0.008835728380687469,-0.01363971482219158,0.009607972883008221,,
2024-02-26,100037.51434,0,0.587,100037.51434,0.0,0.585,0.5720588235294118,-0.0074902340005149615,-0.012409818657856257,0.00983916931468259,,
2024-02-27,100037.51434,0,0.597,100037.51434,0.0,0.5893999999999999,0.5708823529411765,-0.005552992147097591,-0.011038453355704525,0.010970922417213869,,
2024-02-28,100037.51434,0,0.588,100037.51434,0.0,0.5904,0.5698823529411764,-0.0046898768243677225,-0.009768738049437165,0.010157722450138885,,
2024-02-29,50063.52664,81900,0.61,100022.52664,0.4994774845051845,0.595,0.5718823529411765,-0.0022052152259399715,-0.008256033484737727,0.01210163651759551,BUY_HALF,低位MACD且上穿MA5
2024-03-01,7.514340000001539,163400,0.614,100335.11434,0.9999251075752548,0.5992,0.5749411764705882,8.567594349428997e-05,-0.006587691599091323,0.013346735085171226,BUY_FULL,次日仍站上MA5
2024-03-04,7.514340000001539,163400,0.616,100661.91433999999,0.9999253507143266,0.605,0.5787647058823528,0.002039101492840256,-0.004862332980705008,0.013802868947090529,,
2024-03-05,7.514340000001539,163400,0.607,99191.31434000001,0.9999242439718637,0.607,0.5819411764705883,0.0028283767637768964,-0.003324191031808627,0.012305135591171048,,
2024-03-06,7.514340000001539,163400,0.618,100988.71434,0.9999255922797996,0.613,0.5868823529411764,0.004292015488712719,-0.0018009497277043582,0.012185930432834155,,
2024-03-07,7.514340000001539,163400,0.603,98537.71434,0.999923741482636,0.6115999999999999,0.5915882352941176,0.004193247931454924,-0.0006021101958725017,0.009590716254654852,,
2024-03-08,7.514340000001539,163400,0.616,100661.91433999999,0.9999253507143266,0.612,0.5951764705882353,0.0051051166779741974,0.000539335178896838,0.009131562998154718,,
2024-03-11,7.514340000001539,163400,0.65,106217.51434,0.999929255169953,0.6188,0.6000588235294118,0.008473616502991055,0.0021261914437156813,0.012694850118550746,,
2024-03-12,7.514340000001539,163400,0.65,106217.51434,0.999929255169953,0.6274000000000001,0.6041764705882352,0.011016189112300623,0.0039041909774326696,0.014223996269735906,,
2024-03-13,7.514340000001539,163400,0.646,105563.91434000002,0.9999288171526511,0.633,0.6082352941176471,0.012563604243670867,0.005636073630680309,0.013855061225981116,,
2024-03-14,7.514340000001539,163400,0.637,104093.31434000001,0.9999278115021348,0.6398,0.6118823529411765,0.012914842830998752,0.007091827470743998,0.011646030720509508,,
2024-03-15,7.514340000001539,163400,0.637,104093.31434000001,0.9999278115021348,0.644,0.6150588235294118,0.013042852062312704,0.008282032389057739,0.00952163934650993,,
2024-03-18,7.514340000001539,163400,0.651,106380.91434000002,0.9999293638332907,0.6442,0.6188235294117648,0.014111316821179054,0.009447889275482003,0.009326855091394103,,
2024-03-19,7.514340000001539,163400,0.642,104910.31434000001,0.9999283736775809,0.6426000000000001,0.6217058823529412,0.01406967163999262,0.010372245748384128,0.007394851783216985,,
2024-03-20,7.514340000001539,163400,0.643,105073.71434,0.9999284850635841,0.642,0.625,0.013956477590459149,0.011089092116799131,0.005734770947320035,,
2024-03-21,7.514340000001539,163400,0.635,103766.51434,0.9999275841532522,0.6416000000000001,0.6272352941176471,0.01307056797797046,0.011485387289033398,0.0031703613778741244,,
2024-03-22,100958.41998,0,0.618,100958.41998,0.0,0.6378,0.629,0.010871401552482451,0.011362590141723208,-0.0009823771784815138,SELL_ALL,跌破MA17清仓
2024-03-25,100958.41998,0,0.608,100958.41998,0.0,0.6292,0.6288823529411764,0.008226796500576228,0.010735431413493812,-0.005017269825835169,,
2024-03-26,100958.41998,0,0.622,100958.41998,0.0,0.6252,0.6293529411764706,0.007177868935685838,0.01002391891793222,-0.0056920999644927625,,
2024-03-27,100958.41998,0,0.602,100958.41998,0.0,0.617,0.6285294117647059,0.004678818918342098,0.008954898918014195,-0.008552159999344194,,
2024-03-28,100958.41998,0,0.606,100958.41998,0.0,0.6112,0.6284705882352941,0.0029866421934335863,0.007761247573098074,-0.009549210759328975,,
2024-03-29,100958.41998,0,0.613,100958.41998,0.0,0.6102,0.6281764705882353,0.0021852314580387278,0.006646044350086205,-0.008921625784094955,,
2024-04-01,100958.41998,0,0.633,100958.41998,0.0,0.6152,0.6299411764705882,0.0031278842270823226,0.005942412325485429,-0.005629056196806212,,
2024-04-02,100958.41998,0,0.638,100958.41998,0.0,0.6184,0.631235294117647,0.004229644838417479,0.0055998588280718395,-0.002740427979308721,,
2024-04-03,100958.41998,0,0.634,100958.41998,0.0,0.6248,0.6302941176470588,0.004725558196718049,0.005424998701801081,-0.0013988810101660636,,
