period,count,avg_return,median_return,win_rate,avg_drawdown,worst_drawdown,avg_trades
2025,10,19.99%,18.60%,80.00%,-10.22%,-15.50%,21.5
2026,10,14.96%,12.54%,80.00%,-6.14%,-13.70%,13.0
