code,date,action,shares,price,cash_after,holding_after,reason
510300,2024-01-24,BUY_HALF,15200,3.279,50144.25,15200,低位MACD且上穿MA5
510300,2024-01-25,BUY_FULL,15000,3.335,104.24,30200,次日仍站上MA5
510300,2024-01-29,SELL_ALL,30200,3.299,99704.15,0,跌破MA17清仓
510300,2024-02-06,BUY_HALF,15000,3.311,50024.25,15000,低位MACD且上穿MA5
510300,2024-02-07,BUY_FULL,14900,3.34,243.32,29900,次日仍站上MA5
510300,2024-03-22,SELL_ALL,29900,3.539,106027.68,0,跌破MA17清仓
510300,2024-04-25,BUY_HALF,15000,3.523,53166.82,15000,低位MACD且上穿MA5
510300,2024-04-26,BUY_FULL,14800,3.573,270.56,29800,次日仍站上MA5
510300,2024-05-23,SELL_ALL,29800,3.643,108799.39,0,跌破MA17清仓
510300,2024-06-14,BUY_HALF,15300,3.554,54406.88,15300,低位MACD且上穿MA5
510300,2024-06-17,SELL_ALL,15300,3.544,108613.81,0,跌破MA17清仓
510300,2024-06-18,BUY_HALF,15200,3.555,54561.6,15200,低位MACD且上穿MA5
510300,2024-06-19,SELL_ALL,15200,3.545,108429.44,0,跌破MA17清仓
510300,2024-07-01,BUY_HALF,15400,3.501,54497.86,15400,低位MACD且上穿MA5
510300,2024-07-02,SELL_ALL,15400,3.496,108320.11,0,跌破MA17清仓
510300,2024-07-09,BUY_HALF,15500,3.471,54503.47,15500,低位MACD且上穿MA5
510300,2024-07-10,SELL_ALL,15500,3.463,108163.87,0,跌破MA17清仓
510300,2024-07-31,BUY_HALF,15400,3.508,54124.46,15400,低位MACD且上穿MA5
510300,2024-08-01,SELL_ALL,15400,3.483,107746.57,0,跌破MA17清仓
510300,2024-08-15,BUY_HALF,15800,3.408,53884.01,15800,低位MACD且上穿MA5
510300,2024-08-16,SELL_ALL,15800,3.41,107745.85,0,跌破MA17清仓
510300,2024-08-26,BUY_HALF,15800,3.394,54104.56,15800,低位MACD且上穿MA5
510300,2024-08-27,SELL_ALL,15800,3.377,107445.16,0,跌破MA17清仓
510300,2024-08-30,BUY_HALF,15800,3.392,53835.48,15800,低位MACD且上穿MA5
510300,2024-09-02,SELL_ALL,15800,3.332,106465.28,0,跌破MA17清仓
510300,2024-09-19,BUY_HALF,16200,3.265,53556.42,16200,低位MACD且上穿MA5
510300,2024-09-20,SELL_ALL,16200,3.274,106579.3,0,跌破MA17清仓
510300,2024-12-19,BUY_HALF,13200,4.03,53367.35,13200,低位MACD且上穿MA5
510300,2024-12-20,SELL_ALL,13200,4.018,106389.03,0,跌破MA17清仓
510300,2025-01-14,BUY_HALF,13600,3.906,53251.5,13600,低位MACD且上穿MA5
510300,2025-01-15,SELL_ALL,13600,3.883,106044.46,0,跌破MA17清仓
510300,2025-01-24,BUY_HALF,13400,3.929,53380.06,13400,低位MACD且上穿MA5
510300,2025-02-28,SELL_ALL,13400,3.994,106883.6,0,跌破MA17清仓
510300,2025-03-06,BUY_HALF,13100,4.049,53825.79,13100,低位MACD且上穿MA5
510300,2025-03-07,BUY_FULL,13300,4.039,90.98,26400,次日仍站上MA5
510300,2025-03-10,SELL_ALL,26400,4.023,106266.31,0,跌破MA17清仓
510300,2025-04-10,BUY_HALF,13800,3.829,53410.26,13800,低位MACD且上穿MA5
510300,2025-04-11,SELL_ALL,13800,3.84,106386.36,0,跌破MA17清仓
510300,2025-05-06,BUY_HALF,13600,3.903,53289.64,13600,低位MACD且上穿MA5
510300,2025-05-07,BUY_FULL,13500,3.927,259.24,27100,次日仍站上MA5
510300,2025-05-26,SELL_ALL,27100,3.967,107732.68,0,跌破MA17清仓
510300,2025-06-11,BUY_HALF,13400,4.004,54062.99,13400,低位MACD且上穿MA5
510300,2025-06-12,BUY_FULL,13400,4.006,366.48,26800,次日仍站上MA5
510300,2025-06-13,SELL_ALL,26800,3.98,106998.49,0,跌破MA17清仓
510300,2025-06-24,BUY_HALF,13500,3.936,53846.54,13500,低位MACD且上穿MA5
510300,2025-06-25,BUY_FULL,13400,4.001,217.06,26900,次日仍站上MA5
510300,2025-08-01,SELL_ALL,26900,4.133,111361.41,0,跌破MA17清仓
510300,2025-11-06,BUY_HALF,11500,4.805,56087.33,11500,低位MACD且上穿MA5
510300,2025-11-07,BUY_FULL,11600,4.795,448.64,23100,次日仍站上MA5
510300,2025-11-11,SELL_ALL,23100,4.763,110440.94,0,跌破MA17清仓
510300,2025-11-13,BUY_HALF,11400,4.812,55567.68,11400,低位MACD且上穿MA5
510300,2025-11-14,SELL_ALL,11400,4.741,109598.86,0,跌破MA17清仓
510300,2025-11-26,BUY_HALF,11800,4.626,54995.69,11800,低位MACD且上穿MA5
510300,2025-11-27,SELL_ALL,11800,4.622,109518.93,0,跌破MA17清仓
510300,2025-12-05,BUY_HALF,11600,4.698,55005.78,11600,低位MACD且上穿MA5
510300,2025-12-08,BUY_FULL,11600,4.732,98.11,23200,次日仍站上MA5
510300,2025-12-16,SELL_ALL,23200,4.62,107249.95,0,跌破MA17清仓
510300,2025-12-17,BUY_HALF,11400,4.699,53665.28,11400,低位MACD且上穿MA5
510300,2025-12-18,SELL_ALL,11400,4.668,106864.52,0,跌破MA17清仓
510300,2025-12-19,BUY_HALF,11300,4.688,53874.23,11300,低位MACD且上穿MA5
510300,2025-12-22,BUY_FULL,11300,4.73,409.19,22600,次日仍站上MA5
510300,2026-01-19,SELL_ALL,22600,4.738,107455.87,0,跌破MA17清仓
510300,2026-02-04,BUY_HALF,11400,4.707,53779.97,11400,低位MACD且上穿MA5
510300,2026-02-05,SELL_ALL,11400,4.679,107104.57,0,跌破MA17清仓
510300,2026-02-09,BUY_HALF,11300,4.727,53673.44,11300,低位MACD且上穿MA5
510300,2026-02-10,BUY_FULL,11300,4.733,174.5,22600,次日仍站上MA5
510300,2026-02-13,SELL_ALL,22600,4.671,105707.43,0,跌破MA17清仓
510300,2026-02-24,BUY_HALF,11200,4.716,52872.38,11200,低位MACD且上穿MA5
510300,2026-02-25,BUY_FULL,11100,4.75,131.57,22300,次日仍站上MA5
510300,2026-03-03,SELL_ALL,22300,4.678,104419.67,0,跌破MA17清仓
510300,2026-03-10,BUY_HALF,11100,4.683,52422.78,11100,低位MACD且上穿MA5
510300,2026-03-11,BUY_FULL,11100,4.711,114.99,22200,次日仍站上MA5
510300,2026-03-12,SELL_ALL,22200,4.694,104290.53,0,跌破MA17清仓
510300,2026-03-25,BUY_HALF,11400,4.544,52473.39,11400,低位MACD且上穿MA5
510300,2026-03-26,SELL_ALL,11400,4.488,103621.24,0,跌破MA17清仓
510300,2026-03-27,BUY_HALF,11400,4.508,52214.62,11400,低位MACD且上穿MA5
510300,2026-03-30,SELL_ALL,11400,4.5,103499.23,0,跌破MA17清仓
510300,2026-04-01,BUY_HALF,11400,4.534,51796.12,11400,低位MACD且上穿MA5
510300,2026-04-02,SELL_ALL,11400,4.489,102955.37,0,跌破MA17清仓
510300,2026-04-08,BUY_HALF,11100,4.602,51857.85,11100,低位MACD且上穿MA5
510300,2026-04-09,BUY_FULL,11300,4.572,178.75,22400,次日仍站上MA5
510300,2026-05-18,SELL_ALL,22400,4.852,108830.94,0,跌破MA17清仓
