variant,profile,code,start,end,start_equity,end_equity,total_return,max_drawdown,trade_count,status
trend_exit2,trend_exit2,512600,2024-01-03,2026-06-18,100000.0,104371.97,4.37%,-5.61%,11.0,
trend_exit2,trend_exit2,512010,2024-01-03,2026-06-18,100000.0,92083.66,-7.92%,-10.45%,11.0,
trend_exit2,trend_exit2,512170,2024-01-03,2026-06-18,100000.0,95838.85,-4.16%,-7.96%,9.0,
trend_exit2,trend_exit2,512480,2024-01-03,2026-06-18,100000.0,100000.0,0.00%,0.00%,0.0,
trend_exit2,trend_exit2,515050,2024-01-03,2026-06-18,100000.0,87357.31,-12.64%,-13.93%,12.0,
trend_exit2,trend_exit2,515700,2024-01-03,2026-06-18,100000.0,86503.79,-13.50%,-13.53%,11.0,
trend_exit2,trend_exit2,515790,2024-01-03,2026-06-18,100000.0,96191.94,-3.81%,-5.44%,5.0,
trend_exit2,trend_exit2,516160,2024-01-03,2026-06-18,100000.0,93327.86,-6.67%,-11.99%,11.0,
trend_exit2,trend_exit2,512660,2024-01-03,2026-06-18,100000.0,107836.19,7.84%,-13.03%,11.0,
trend_exit2,trend_exit2,512690,2024-01-03,2026-06-18,100000.0,99139.26,-0.86%,-1.46%,3.0,
adaptive,original,510050,2024-01-03,2026-06-18,100000.0,104343.59,4.34%,-9.04%,96.0,
adaptive,original,510300,2024-01-03,2026-06-18,100000.0,108830.94,8.83%,-10.12%,82.0,
adaptive,original,510500,2024-01-03,2026-06-18,100000.0,132943.11,32.94%,-10.60%,77.0,
adaptive,original,512100,2024-01-03,2026-06-18,100000.0,123108.7,23.11%,-13.77%,66.0,
adaptive,trend,159915,2024-01-03,2026-06-18,100000.0,147684.14,47.68%,-6.01%,5.0,
adaptive,original,159949,2024-01-03,2026-06-18,100000.0,181177.92,81.18%,-25.35%,69.0,
adaptive,original,588000,2024-01-03,2026-06-18,100000.0,231039.29,131.04%,-19.03%,83.0,
adaptive,original,588080,2024-01-03,2026-06-18,100000.0,254159.91,154.16%,-18.23%,82.0,
adaptive,trend_exit2,512880,2024-01-03,2026-06-18,100000.0,144056.7,44.06%,-14.80%,6.0,
adaptive,skip,512800,,,,,,,,skipped
adaptive,trend_exit2,512070,2024-01-03,2026-06-18,100000.0,108294.86,8.29%,-9.89%,12.0,
adaptive,original,510880,2024-01-03,2026-06-18,100000.0,108711.58,8.71%,-6.04%,79.0,
adaptive,original,515180,2024-01-03,2026-06-18,100000.0,100841.3,0.84%,-9.11%,83.0,
adaptive,original,159928,2024-01-03,2026-06-18,100000.0,105227.4,5.23%,-9.15%,93.0,
adaptive,original,512600,2024-01-03,2026-06-18,100000.0,107256.97,7.26%,-8.98%,88.0,
adaptive,original,512010,2024-01-03,2026-06-18,100000.0,101922.53,1.92%,-21.38%,110.0,
adaptive,original,512170,2024-01-03,2026-06-18,100000.0,107362.03,7.36%,-16.28%,96.0,
adaptive,original,512480,2024-01-03,2026-06-18,100000.0,188917.29,88.92%,-13.88%,69.0,
adaptive,original,515050,2024-01-03,2026-06-18,100000.0,152927.85,52.93%,-16.09%,65.0,
adaptive,original,515700,2024-01-03,2026-06-18,100000.0,143229.73,43.23%,-18.77%,88.0,
adaptive,original,515790,2024-01-03,2026-06-18,100000.0,124849.2,24.85%,-21.60%,100.0,
adaptive,skip,516160,,,,,,,,skipped
adaptive,original,512660,2024-01-03,2026-06-18,100000.0,195314.28,95.31%,-15.10%,88.0,
adaptive,skip,512690,,,,,,,,skipped
