code,date,action,shares,price,cash_after,holding_after,reason
512880,2024-02-06,BUY_HALF,57900,0.863,50017.31,57900,低位MACD且上穿MA5
512880,2024-02-07,BUY_FULL,57200,0.873,66.73,115100,次日仍站上MA5
512880,2024-03-07,SELL_ALL,115100,0.89,102475.0,0,跌破MA17清仓
512880,2024-03-11,BUY_HALF,56500,0.906,51270.64,56500,低位MACD且上穿MA5
512880,2024-03-12,BUY_FULL,56200,0.912,0.86,112700,次日仍站上MA5
512880,2024-03-13,SELL_ALL,112700,0.898,101175.1,0,跌破MA17清仓
512880,2024-03-18,BUY_HALF,55100,0.917,50633.24,55100,低位MACD且上穿MA5
512880,2024-03-19,SELL_ALL,55100,0.9,100208.37,0,跌破MA17清仓
512880,2024-04-01,BUY_HALF,57600,0.869,50138.95,57600,低位MACD且上穿MA5
512880,2024-04-02,SELL_ALL,57600,0.863,99832.84,0,跌破MA17清仓
512880,2024-04-17,BUY_HALF,60400,0.825,49987.89,60400,低位MACD且上穿MA5
512880,2024-04-18,SELL_ALL,60400,0.832,100225.61,0,跌破MA17清仓
512880,2024-04-26,BUY_HALF,57000,0.878,50164.6,57000,低位MACD且上穿MA5
512880,2024-04-29,BUY_FULL,56400,0.889,9.96,113400,次日仍站上MA5
512880,2024-05-16,SELL_ALL,113400,0.858,97277.97,0,跌破MA17清仓
512880,2024-06-14,BUY_HALF,58300,0.833,48699.5,58300,低位MACD且上穿MA5
512880,2024-06-17,BUY_FULL,58500,0.832,12.9,116800,次日仍站上MA5
512880,2024-06-19,SELL_ALL,116800,0.827,96577.52,0,跌破MA17清仓
512880,2024-07-10,BUY_HALF,63100,0.764,48354.66,63100,低位MACD且上穿MA5
512880,2024-07-11,SELL_ALL,63100,0.776,97305.57,0,跌破MA17清仓
512880,2024-07-26,BUY_HALF,60700,0.801,48670.28,60700,低位MACD且上穿MA5
512880,2024-07-29,BUY_FULL,61300,0.793,44.8,122000,次日仍站上MA5
512880,2024-08-12,SELL_ALL,122000,0.804,98103.37,0,跌破MA17清仓
512880,2024-08-29,BUY_HALF,61700,0.794,49098.88,61700,低位MACD且上穿MA5
512880,2024-08-30,BUY_FULL,60200,0.814,81.37,121900,次日仍站上MA5
512880,2024-09-02,SELL_ALL,121900,0.793,96719.07,0,跌破MA17清仓
512880,2024-09-03,BUY_HALF,60500,0.799,48365.07,60500,低位MACD且上穿MA5
512880,2024-09-04,SELL_ALL,60500,0.798,96629.59,0,跌破MA17清仓
512880,2024-09-05,BUY_HALF,59900,0.806,48335.71,59900,低位MACD且上穿MA5
512880,2024-09-06,BUY_FULL,59700,0.809,23.92,119600,次日仍站上MA5
512880,2024-10-30,SELL_ALL,119600,1.133,135490.06,0,跌破MA17清仓
512880,2025-01-14,BUY_HALF,61400,1.103,67745.55,61400,低位MACD且上穿MA5
512880,2025-01-15,SELL_ALL,61400,1.09,134651.47,0,跌破MA17清仓
512880,2025-01-23,BUY_HALF,61100,1.101,67360.19,61100,低位MACD且上穿MA5
512880,2025-01-24,BUY_FULL,60400,1.114,54.4,121500,次日仍站上MA5
512880,2025-01-27,SELL_ALL,121500,1.086,131963.82,0,跌破MA17清仓
512880,2025-02-06,BUY_HALF,59700,1.104,66035.24,59700,低位MACD且上穿MA5
512880,2025-02-07,BUY_FULL,58500,1.128,27.45,118200,次日仍站上MA5
512880,2025-02-18,SELL_ALL,118200,1.108,130953.76,0,跌破MA17清仓
512880,2025-03-06,BUY_HALF,57400,1.14,65498.13,57400,低位MACD且上穿MA5
512880,2025-03-07,SELL_ALL,57400,1.12,129766.84,0,跌破MA17清仓
512880,2025-04-10,BUY_HALF,63100,1.027,64943.7,63100,低位MACD且上穿MA5
512880,2025-04-11,SELL_ALL,63100,1.031,129980.28,0,跌破MA17清仓
512880,2025-04-18,BUY_HALF,63000,1.031,65007.8,63000,低位MACD且上穿MA5
512880,2025-04-21,SELL_ALL,63000,1.037,130319.2,0,跌破MA17清仓
512880,2025-04-25,BUY_HALF,62500,1.041,65237.18,62500,低位MACD且上穿MA5
512880,2025-05-22,SELL_ALL,62500,1.057,131279.86,0,跌破MA17清仓
512880,2025-05-29,BUY_HALF,62500,1.049,65697.69,62500,低位MACD且上穿MA5
512880,2025-05-30,SELL_ALL,62500,1.043,130865.64,0,跌破MA17清仓
512880,2025-09-25,BUY_HALF,53400,1.224,65484.43,53400,低位MACD且上穿MA5
512880,2025-09-26,SELL_ALL,53400,1.219,130559.5,0,跌破MA17清仓
512880,2025-09-29,BUY_HALF,50900,1.28,65387.95,50900,低位MACD且上穿MA5
512880,2025-09-30,BUY_FULL,51700,1.263,71.26,102600,次日仍站上MA5
512880,2025-10-17,SELL_ALL,102600,1.233,126539.11,0,跌破MA17清仓
512880,2025-10-23,BUY_HALF,50800,1.245,63274.14,50800,低位MACD且上穿MA5
512880,2025-10-24,BUY_FULL,50300,1.257,28.07,101100,次日仍站上MA5
512880,2025-10-31,SELL_ALL,101100,1.254,126769.44,0,跌破MA17清仓
512880,2025-11-06,BUY_HALF,50500,1.254,63423.44,50500,低位MACD且上穿MA5
512880,2025-11-07,SELL_ALL,50500,1.244,126226.59,0,跌破MA17清仓
512880,2025-11-10,BUY_HALF,50000,1.26,63207.69,50000,低位MACD且上穿MA5
512880,2025-11-11,SELL_ALL,50000,1.245,125439.02,0,跌破MA17清仓
512880,2025-11-13,BUY_HALF,50200,1.248,62770.62,50200,低位MACD且上穿MA5
512880,2025-11-14,SELL_ALL,50200,1.232,124598.47,0,跌破MA17清仓
512880,2025-11-28,BUY_HALF,52700,1.18,62393.81,52700,低位MACD且上穿MA5
512880,2025-12-01,SELL_ALL,52700,1.183,124719.21,0,跌破MA17清仓
512880,2025-12-05,BUY_HALF,52200,1.194,62373.71,52200,低位MACD且上穿MA5
512880,2025-12-08,BUY_FULL,51200,1.217,44.62,103400,次日仍站上MA5
512880,2026-01-15,SELL_ALL,103400,1.218,125948.04,0,跌破MA17清仓
512880,2026-01-29,BUY_HALF,51900,1.212,63026.36,51900,低位MACD且上穿MA5
512880,2026-01-30,SELL_ALL,51900,1.194,124976.37,0,跌破MA17清仓
512880,2026-02-04,BUY_HALF,52400,1.191,62549.25,52400,低位MACD且上穿MA5
512880,2026-02-05,SELL_ALL,52400,1.193,125043.7,0,跌破MA17清仓
512880,2026-03-10,BUY_HALF,55800,1.12,62528.95,55800,低位MACD且上穿MA5
512880,2026-03-11,SELL_ALL,55800,1.123,125173.55,0,跌破MA17清仓
512880,2026-03-17,BUY_HALF,55900,1.118,62658.6,55900,低位MACD且上穿MA5
512880,2026-03-18,SELL_ALL,55900,1.114,124912.52,0,跌破MA17清仓
512880,2026-04-01,BUY_HALF,59700,1.045,62507.3,59700,低位MACD且上穿MA5
512880,2026-04-02,SELL_ALL,59700,1.025,123681.45,0,跌破MA17清仓
512880,2026-04-08,BUY_HALF,58600,1.054,61898.52,58600,低位MACD且上穿MA5
512880,2026-04-09,SELL_ALL,58600,1.031,122296.99,0,跌破MA17清仓
512880,2026-04-22,BUY_HALF,56800,1.075,61218.67,56800,低位MACD且上穿MA5
