code,date,action,shares,price,cash_after,holding_after,reason
588080,2024-01-25,BUY_HALF,63600,0.785,50059.02,63600,低位MACD且上穿MA5
588080,2024-01-26,SELL_ALL,63600,0.764,98634.85,0,跌破MA17清仓
588080,2024-02-06,BUY_HALF,66700,0.739,49328.76,66700,低位MACD且上穿MA5
588080,2024-02-07,BUY_FULL,64800,0.761,1.16,131500,次日仍站上MA5
588080,2024-03-21,SELL_ALL,131500,0.824,108324.66,0,跌破MA17清仓
588080,2024-04-15,BUY_HALF,70500,0.768,54164.41,70500,低位MACD且上穿MA5
588080,2024-04-16,SELL_ALL,70500,0.75,107023.55,0,跌破MA17清仓
588080,2024-04-17,BUY_HALF,69600,0.768,53554.72,69600,低位MACD且上穿MA5
588080,2024-04-18,SELL_ALL,69600,0.764,106713.16,0,跌破MA17清仓
588080,2024-04-24,BUY_HALF,70500,0.756,53399.17,70500,低位MACD且上穿MA5
588080,2024-04-25,SELL_ALL,70500,0.751,106328.79,0,跌破MA17清仓
588080,2024-05-20,BUY_HALF,68900,0.771,53190.95,68900,低位MACD且上穿MA5
588080,2024-05-21,SELL_ALL,68900,0.765,105883.64,0,跌破MA17清仓
588080,2024-05-22,BUY_HALF,68500,0.772,52985.78,68500,低位MACD且上穿MA5
588080,2024-05-23,SELL_ALL,68500,0.76,105030.16,0,跌破MA17清仓
588080,2024-05-30,BUY_HALF,69100,0.759,52567.52,69100,低位MACD且上穿MA5
588080,2024-05-31,SELL_ALL,69100,0.761,105136.85,0,跌破MA17清仓
588080,2024-06-11,BUY_HALF,67700,0.776,52585.89,67700,低位MACD且上穿MA5
588080,2024-06-12,BUY_FULL,67900,0.774,15.52,135600,次日仍站上MA5
588080,2024-06-24,SELL_ALL,135600,0.757,102633.93,0,跌破MA17清仓
588080,2024-07-09,BUY_HALF,70500,0.727,51365.05,70500,低位MACD且上穿MA5
588080,2024-07-10,SELL_ALL,70500,0.727,102603.18,0,跌破MA17清仓
588080,2024-07-31,BUY_HALF,67200,0.763,51314.19,67200,低位MACD且上穿MA5
588080,2024-08-01,BUY_FULL,67600,0.758,58.02,134800,次日仍站上MA5
588080,2024-08-05,SELL_ALL,134800,0.722,97354.42,0,跌破MA17清仓
588080,2024-08-13,BUY_HALF,66600,0.73,48721.84,66600,低位MACD且上穿MA5
588080,2024-08-14,SELL_ALL,66600,0.72,96659.45,0,跌破MA17清仓
588080,2024-08-15,BUY_HALF,66500,0.726,48365.97,66500,低位MACD且上穿MA5
588080,2024-08-16,SELL_ALL,66500,0.724,96497.52,0,跌破MA17清仓
588080,2024-08-29,BUY_HALF,69200,0.697,48250.65,69200,低位MACD且上穿MA5
588080,2024-08-30,SELL_ALL,69200,0.711,97437.09,0,跌破MA17清仓
588080,2024-09-11,BUY_HALF,71500,0.681,48730.99,71500,低位MACD且上穿MA5
588080,2024-09-12,SELL_ALL,71500,0.676,97050.49,0,跌破MA17清仓
588080,2024-09-24,BUY_HALF,70900,0.684,48540.34,70900,低位MACD且上穿MA5
588080,2024-09-25,BUY_FULL,71000,0.683,32.79,141900,次日仍站上MA5
588080,2024-10-30,SELL_ALL,141900,0.981,139194.93,0,跌破MA17清仓
588080,2025-01-14,BUY_HALF,69200,1.005,69628.07,69200,低位MACD且上穿MA5
588080,2025-01-15,SELL_ALL,69200,1.002,138945.66,0,跌破MA17清仓
588080,2025-01-21,BUY_HALF,69400,1.0,69524.84,69400,低位MACD且上穿MA5
